bid,wid
13545211,15422891
20819687,23841765
23216055,27237970
22747200,41166152
7200466,7875381
23351063,42009590
7812659,10829530
8652283,13523522
24585336,46141593
6717377,6913459
5867840,6040007
24885439,44534089
6780920,6982485
13610221,17995392
16141937,21553957
15790314,18000766
27220718,47263756
27220808,44804606
10675894,14597713
13722902,19355962
18668009,26493533
30453712,47296561
29617098,47250967
12178697,16987697
7304203,6967072
16280436,21570166
25813976,45670681
6114254,6160399
24911006,44518635
25814543,45671239
8966470,3127888
2029176,3131078
3655727,3698925
17368400,21544285
27221266,45670817
26067879,17763198
10931321,17029041
25666072,45489205
22675963,40105061
23857785,40901894
16132725,21520846
13624108,19227859
11890810,17242795
18870517,26494205
25073554,26949988
18465522,26122523
16071830,21865617
5826352,5998485
13531661,18332858
20602999,24221752
13595065,13332259
17852076,24987300
22237290,41610855
26109020,40453838
25937937,45835034
23398906,42912504
30109713,42862750
7267188,8373463
7989800,12462257
27066316,44223038
29634944,49993166
19481178,27228790
7556334,9862760
25472748,45005209
22504701,41951492
9435127,1320617
8698295,13570988
18090079,25337665
6080337,6257025
27171845,47208077
21853621,41125521
18282998,37286426
21853662,41125547
15802730,21526139
21682401,21600625
11528440,14761097
24040467,43001164
23453121,1939378
25785775,45636457
26031279,45957573
25330551,45065764
27162573,42955411
11520432,15075653
22306173,40864254
3407345,3350474
11955882,15688402
28588077,43446309
25379039,40732855
7046083,6599953
18316089,25649723
28686819,42009388
19288321,26474462
10628561,13876185
16099180,21908528
28109894,48117736
17239876,23766743
13624663,21548777
17899371,25073414
15802819,21526472
29547434,45673559
13593569,19181719
2177236,14592071
7171944,6518250
25743802,45584335
18667996,26493730
18637717,1615716
4886091,4951481
17741077,21805191
22572547,41125566
13547581,19112176
18635131,26366067
22889969,40713679
24820165,44460981
13542945,19107238
5161066,5228078
4003436,4049663
17251093,19926990
13055592,18130445
18143937,25491259
6603335,216590
24683539,42819776
18079661,25323488
25267715,43600883
17345247,25046784
21557613,17162462
22747886,26323812
18114115,25441345
6187445,6367735
25893708,45775568
18870101,26680938
29941166,48117931
15791528,21558723
25434341,45195838
12174691,17146239
3393648,2675775
20827353,27807579
2277444,2312106
22609331,42099336
24726584,41969115
25776210,30158053
20821174,16827462
18870369,26680297
5945363,6117885
12958284,18115610
18655998,24065147
10328597,14346762
24611988,40714579
13547407,19112547
20821284,39959105
7159674,6564151
11621060,14561413
7703038,6518262
17333848,24064769
26796491,44222820
13533655,19095338
25986827,43116473
15819230,21548241
7195007,7096036
15818107,21545713
3134684,3166108
17643584,19138227
23281730,42819694
6104759,2859015
15451058,44904964
10677213,15586908
26542607,44688733
17345258,24084454
25937665,45835027
20696032,40015553
17699922,24743811
25861997,26585246
11160826,16052033
8142508,12939882
13586737,19174085
16558233,16365570
10145317,418641
26155910,24239884
8014886,40150836
9452338,14337102
25489282,45351806
22098550,41443759
25733885,47250749
12117197,16805777
9786830,3175590
25747143,42700811
25938055,19049300
14758727,19110679
16065538,21856179
11371546,15110006
27074443,45313982
18505796,26365939
25194192,27237970
23737135,832090
10421340,12507980
23732486,21754877
22638071,42757634
25814540,45670614
23968539,43272201
16065735,21500681
21413806,19034797
22492903,16845778
13536860,18034963
14758565,18462814
13446602,15911884
25614523,45425700
13269092,18472752
26115785,40782926
24796131,44432207
17724717,23981243
25663953,45486847
2294887,45111653
2731276,2168242
21538202,21396257
23453036,43014854
11531671,14943596
20697471,40017077
25893416,45775590
9789566,14679600
7064788,134539
15798985,21521939
10161014,3464136
8722727,13595669
23732458,43344627
17707654,24757101
10632190,7580942
27170170,42901145
17165917,23670483
22926807,25781259
17740743,24823648
29080164,45462848
8256683,9059622
18639969,24484434
13148921,18470260
18053213,23859750
25387599,613469
16066971,18390691
21853645,41125534
25279165,45005209
24338303,58203
13573236,19153727
13160314,18339051
22999176,42563938
25488982,43767637
30846844,46810081
12022079,16987689
25430746,45191230
23602207,42913846
24611471,40167113
24889177,43618132
18144053,25491380
7144433,7408889
13586707,19174054
1450851,2422475
6665846,2883783
16065679,21856324
9585131,14472079
9470898,14355992
17707485,24757013
7933292,11283577
13237705,23904125
23492385,42397841
25902672,25387113
25861100,46921227
8158992,13001065
14781177,20434567
22176263,41524332
6574542,6767675
12010079,13400250
9499907,7270473
10384088,14465565
12867674,16686457
22571634,42038094
19080006,25758268
27071491,45799876
3410425,3450678
22608586,42145710
25776686,45625986
6528034,6719993
15776723,21488874
28263010,45052215
18246399,25491490
26154389,46111079
9440429,7162888
6544020,6736299
23507759,43111809
8701960,13574748
18870456,26680460
22514020,41957894
24726336,44352694
5171894,5238959
2983562,3229092
25582867,45385590
25246610,4991377
17368395,82614
7757579,10617192
9862893,8758998
24464123,44056865
6383294,6156487
11926087,13609559
16160047,22001105
13544772,18461220
15820604,24466037
64229,1947012
11469541,14679600
18077547,21842294
28925608,49141475
22609147,40070987
21943929,41125521
15734760,21417122
9303811,6278069
26883141,42713930
27065483,42819755
24751478,44380622
7140754,7404751
20821292,40167152
18249281,27237970
13538444,810027
29654091,46111020
26333193,45107510
11509438,15156997
18053115,28141291
25852817,44518635
25861677,45732278
6834410,7045390
16441285,18614238
15818527,21546163
23398681,43110488
23568554,42499239
25786917,45637429
25111269,41875633
16646840,19154449
7078265,7332789
24926259,44580165
23604435,43206066
26073150,25126749
13521416,18270137
13414676,18713903
23848608,41650393
23591092,43193755
7187395,7730315
5668391,5839935
6324914,6510464
25752482,9585076
16071767,23590922
7106681,7365356
13154952,18245549
22453035,41884478
12758317,17893276
19163724,27203191
7912007,11067830
9268487,14150105
8866354,13741782
10868556,10090210
23735515,40144215
25430250,44610373
7830370,10891319
3519956,3561666
18142526,21962567
7083233,192020
20605872,24757013
7936809,14180015
22217717,24248331
17912486,25099938
6625002,6819244
26530331,46521442
23587120,43190257
17333761,24064583
25010281,44681694
10687840,15597755
7189177,16979391
9267091,18909140
30323148,46003725
7940589,11366179
9972053,14866301
24000784,43600883
21457243,40771712
10925219,10934698
29432989,30158053
27405146,47452595
6327770,6732689
15802756,21436019
10169840,15068622
3422075,2860439
13621922,239601
6680818,6445633
17162350,21903884
22926606,32695230
20764665,25423130
23941397,21855448
22571540,42038027
20821239,40167110
13187824,18368758
27887707,43635283
22536580,24941099
11467115,16605490
27219199,46942195
24331115,43910210
17860192,518162
16054643,21583855
20829029,21825181
5640796,5812240
16058281,21844582
23995546,43596198
18052944,25396116
20707953,40030577
10348080,4670449
23732096,43344260
11259346,15423781
17368392,30783
22944113,26233172
24182162,43454866
7627722,456945
18405492,26040365
20262505,27565415
22716583,42243825
15819461,21548475
23732434,40105061
6620989,1708725
27221524,44804609
19286628,27334827
18599638,26156258
25387393,43699428
16308746,19282845
6912361,2034474
23492592,43082790
13425397,18079742
11057626,15978848
24611668,44222814
13166457,16987695
26109378,43205961
6791598,6995705
16113444,21506045
16280678,22382303
22397800,26542165
23568175,42704733
27285236,45138293
7109143,7368186
8642877,11286470
7290815,8567781
13264225,18466506
23245586,42788867
25658837,42077459
23492762,41247321
23150464,24256919
15842423,21557788
25816693,45626006
13614362,19214758
16248144,21856157
10816348,14648079
23309725,40712987
25372739,24064353
13330537,18538186
6098691,6502183
18144119,25491446
23172673,21598636
26384777,41049008
23450112,42461529
25310635,41969115
26109394,45536239
18079649,25386941
12926694,18082263
24611529,44222703
25614715,45424659
18730413,23756807
27161189,43216974
23871066,43328339
16117930,21856179
10432980,2697052
13609867,19207504
8683812,13556031
9151181,14030099
26131641,46081985
22719558,24502541
6413193,6602180
22872584,26542350
16489732,19181707
10447914,14294481
24487011,42395459
21530229,40857932
17345217,24084413
25897691,45780660
24529123,44129478
18635117,41456537
24995280,40091864
16247981,19051439
23327726,42713682
12799561,16229256
29993827,27126244
22040598,41363353
18114186,25441416
12722468,17858422
18640186,19113126
8330908,10840474
12237673,15657664
20696006,40015533
12962700,18093277
18427243,40361971
1166599,1920889
18079730,24749971
27208524,46947340
25319219,45052186
22749996,21998935
13545218,17305288
24452249,43082585
17857644,24998870
13573622,19154615
19322250,25086415
25430281,41897766
20980657,40144215
11542684,16156051
25657772,45479802
17724899,24069632
10445529,14103744
10339732,14831761
26529587,44995729
15794135,21416771
17724862,24792600
12490867,17475914
9593833,14480845
13485154,18033554
26135825,911368
18374625,25142344
24974121,16657907
13642954,18349971
23845937,40022168
8437379,13300953
7805064,6366642
27876488,47869159
26072609,46009964
12262741,17237712
18693661,26542207
25667102,45490225
7902660,10475576
13225957,18171702
17246179,21527201
25810363,45666354
23310161,42864407
18773666,37842388
16160797,22002305
24013720,18976038
24611866,46053366
23602504,26659491
27283816,26595739
11214211,14870169
22521973,41969141
25900533,45674389
13114564,18288467
11023586,6694706
13153198,18331356
23666106,42705199
12122542,17091888
27281114,47336524
18525074,25746450
22552546,41194522
13049569,18214228
16054811,21507847
13330488,18538132
11522547,14679606
15811568,21536832
23735609,43347673
25937666,45624823
3050104,3080930
25387142,44848425
7821447,10860635
7091137,4719080
21716033,23695563
13127599,15184744
3537195,3579161
25814006,41349584
28110127,48117931
25111253,42907934
23281944,42819828
11150183,16073880
10818853,15732562
4815584,4880711
9249739,1787479
13534887,16162541
23834720,43446338
27274313,4077583
25881642,43082577
22716447,41897766
26248418,44598633
7108568,7367558
13260452,17392263
20705702,40025563
12987640,17907836
8425806,13288988
13564929,16849813
16131202,21834552
11830394,16785236
25152052,44854000
18754527,24495112
17910054,25095506
16246628,21908548
25659126,25470733
15802723,21525054
8506945,1521035
7083024,7338387
5941079,6113554
26115774,32395679
25733748,45572105
25816700,45673781
7012055,7257396
2903736,2930878
20454059,28157628
22747208,21396257
16071745,23587857
6542645,6734901
18599714,26198795
18369567,26952556
2199,2861004
23014570,42580719
10774277,15686035
29547522,42912214
12326644,17305288
12262732,17237703
22535532,16845778
15798782,21887079
18651942,26365827
28863341,49093906
7840702,1232826
13138955,18315946
19481173,26657209
20893477,40236436
13642916,13387396
18870141,25633433
17182421,21762912
24952350,44612151
15720042,18054770
11286237,14628458
13411699,18670861
17704494,24752264
6404538,6382826
11018245,330158
6225116,6405833
3986318,4032307
29569040,45519634
18465650,25807235
15793911,18156313
11827476,16782127
7159515,7383770
27283831,40053604
25332090,45386977
24701732,44194211
25430692,45191404
23568174,43959156
7905092,9585796
18809304,26742775
6452798,6643004
23157777,42704733
18079534,25386825
2285777,2291983
6654118,6848753
28260637,48300163
17072753,21541843
5465066,5532666
18737696,24757122
18079561,25386781
12465471,16826575
26334003,43702584
23278248,41711568
25489013,45242956
20454099,24987300
18669171,26496095
6094181,6271208
26031230,42742312
27245979,47294325
26257613,27252570
13087982,2936175
18225810,24902370
25659234,43457987
25862036,44751809
2881228,2907443
12273377,16402639
10817587,14371118
12050896,14510522
15798087,20605620
11187258,14262366
18738866,24797649
18089877,25337597
12060917,14546637
17286958,24243170
17164599,20382727
24820301,44461074
23719442,43328804
23435107,40358210
17333748,23863053
11167391,16091526
28823538,44825395
24189224,26690360
20519023,36429495
23492397,41412716
18932042,26493480
8015504,19285949
29080096,45723418
24885886,42581882
18870473,26680469
20262499,28069645
27553055,26732095
24727784,41367297
12031563,16997889
25855502,45724415
18594819,32695230
20604826,38053447
9920532,8027234
26109247,46054641
29953779,45424865
8850167,13725204
17417267,21457627
28118555,48095389
25162634,44866230
23346197,27339759
13425383,15184744
7688897,10351024
20455342,32042085
23904735,26905142
7045541,3633533
26067469,46002938
15818268,21548209
8315872,13165093
7087217,6602940
16089867,21856071
2029736,2034374
25814512,45263522
20616864,25755199
25855513,45724443
25893814,25965804
18107951,25429815
7937843,9585076
11106413,16028647
7277715,8444052
12069434,16015193
13513583,19068963
18114643,160246
18090035,25301123
9456379,9629311
17910044,25095496
13152668,18330806
13593552,19154334
13513324,17394448
11738334,15758551
12833331,16987697
21937575,26493730
6238661,6421399
25319229,42742312
13536743,16202410
27177992,48495671
24396854,43385551
25733446,45426196
10552338,15458989
25387100,24992268
16560649,6528121
24950845,44610373
25692997,42799162
12499290,17484647
30547898,50857278
25816604,45626008
23659100,40167227
7038087,6602381
2218382,2969681
15800614,21421387
25976125,42170953
30055571,45776002
22774706,41820346
18505749,25685058
25897501,46883473
3991890,4037948
16342869,14420559
6076768,6253354
25067046,44751860
6311614,6496787
26530322,46521432
13545138,18456140
11216649,16142211
6318241,6503548
8196658,6654434
25571554,45351812
17262540,23859346
18143968,25491291
21693935,21763059
12476914,17461292
10996342,15915002
18077813,25423291
24611936,44223046
13534918,18713688
24627488,1662853
13547154,19112176
26074570,43458140
10250732,1659143
15797277,16669363
3684856,3793700
18736925,26224121
13533740,19095325
8701702,7069544
17910775,24084454
11528480,13670896
6945530,6965593
18143977,25491300
13525916,18285318
9867450,13868705
26245850,42901355
18775356,26680296
25943094,45337610
10379224,13574641
14781219,20434290
12502176,15694855
13564125,19140971
27405699,47453013
25643745,44886975
25064563,44748531
15725175,19186128
26031237,27228804
17412093,24256889
15791515,21512940
18283019,25756793
25330545,45065760
12398199,17379465
25163300,44867065
7004946,553563
25387897,45138293
7121598,7382823
27432625,44222635
25664459,45487238
21936824,40412738
11890806,16849808
25814174,45158718
24019186,26616838
11672760,17421189
20764879,43242915
12275907,17251540
7005479,6825396
7831608,10379217
12444297,40105040
3944726,3990349
23602473,43212054
23281919,41824344
25813250,41875647
13482307,19015742
13531845,19093520
27406750,42395807
17660550,24650037
16041674,21521027
16059322,23542001
15796976,21416825
25337337,45074078
28043290,45638558
23659059,43266179
7741657,332242
25111313,18244871
23361218,42916944
13535467,18468319
13537618,18337340
22820604,40167113
17368386,358067
15818440,21546059
25531875,24508931
18779662,26687507
26333638,43243534
9549746,8975330
13330906,19093212
9998825,14893751
8249736,3364505
10555059,15461735
6075924,6252453
15818671,16845778
8252281,2954537
18283101,25756827
8872596,10889804
22609470,42099437
18079589,25386880
8248617,13096244
25987480,15524549
27245922,40339077
17333821,24064730
18753139,23766743
17568801,24258336
12019319,16984749
26796320,25129083
27220771,42581882
7315990,181915
13131706,2038062
25890355,45771330
18404195,26038055
25861903,45732558
25861995,45732652
25380371,45129161
10778948,15690818
11330361,16258764
12321553,6908384
23657459,26526615
15704522,20387074
28800402,44044797
24885648,20434723
10060138,6278081
27191691,47233994
22929168,41879963
7907677,11175640
3545495,3587517
20454547,32035880
23209924,25129883
10139008,14637971
25476541,45247755
25614807,26537326
17934886,21580644
13589153,19176646
24999117,49037458
22272985,41650393
13533215,16002337
13260481,18422769
7012577,6473602
17465515,26129550
4615457,4665359
19481078,27565414
25618818,45431058
23278390,27669922
6006715,6181807
3905023,2927243
13572972,18538883
23167768,42713082
15791405,21513003
24861842,44509454
6764756,6582125
23281694,44254200
6673171,6868259
11737281,16686467
17571122,24508962
16599123,18453476
17079749,23447843
11508408,7087991
20453984,32001786
24809272,42999423
20225885,21868234
25814486,43959645
3722183,42652219
25756328,45600264
13642963,8586468
9378733,14262366
12201628,17428541
8016398,2422333
7857195,10995406
25508114,43910422
12419815,16327730
9682816,14570778
23995231,43446210
10199908,14296422
29852424,49448141
25900153,45486616
26012123,45931891
13536858,15732562
15796711,21734547
22522808,41947380
25536846,45327222
21729944,24065237
16101020,21911321
23310741,42864852
27068646,25781259
17912475,25099922
11940907,16683183
16065004,21855448
24615949,44226193
17883726,25046757
25817647,45505519
23848559,43075476
21913812,41247321
13422727,2936175
6670347,6865289
13586743,19174091
22833216,40167373
28116635,43744207
25111301,43192758
12340713,17319966
10684227,15594092
23904736,43512224
13547596,19112736
25310628,43963350
25937923,45835026
7852774,2377629
18228772,24593719
25330592,45065674
22544406,42000019
17934385,25142244
20693881,40013530
15820475,21545770
25663652,45486616
13007791,18225308
20519185,25271305
20702080,40021855
25852863,45625091
14744207,18973111
8664353,12946965
18774981,26680075
3902077,3733869
29565408,49879358
1538911,1531066
23300163,40166909
25898266,45781138
27161859,46190773
13236232,18433741
25489094,45242989
10390802,15294564
19287264,1937939
7266940,8371546
22479224,41635751
8614312,7314067
13547367,19112507
18667899,26493562
6442769,3364505
17797381,24895710
18170442,25538798
23309655,25694298
15981507,20522592
22716561,42243804
23395761,42952747
18079632,25386924
17899910,25073414
25066556,44751176
12584202,16422361
27272163,43014935
23615691,24084413
20889470,25076284
11166890,16091023
13528506,19089230
17724866,24873518
23342843,26177807
16281002,22382755
16142151,21974017
28814928,43001164
15789872,14302659
9676990,14564869
2299110,3202442
25489625,44848425
27778516,684622
7897258,6420503
27844852,25032522
25998351,40091912
8679603,12946965
23846031,43456311
10215448,14566396
2217682,2223472
25113095,46204301
20767918,40105061
25813290,27155735
25746469,43014915
10840307,15754585
1971658,1974897
18693728,26542274
22780167,26335519
11737271,16686457
23463183,42913846
23278656,40091810
18310175,25807235
17571344,24510275
16386301,22548687
6054190,6229996
13544678,18461695
12351871,17331427
15841851,21583855
11203932,16129106
17910542,24574896
13570854,19151084
20575435,39843441
17416503,19216563
25066590,44146594
17383918,15524549
6761440,6958838
22608060,26862974
20890046,40232563
13166898,18346397
22181116,41529323
28016420,41511022
13075659,18000766
6449064,2674805
19148864,24757101
22253747,41629774
10480963,15386417
16141918,19245708
13588394,19175796
20881071,40221440
17874997,25028606
25250077,42937661
2079538,2084812
30534239,46190773
17703605,3417510
26386535,45195838
25614994,45760867
18599697,42827960
11084141,16005831
2615008,2639658
9525330,13212200
25706485,45537337
24944921,42864638
7632696,10140384
8516083,994561
426775,2902978
13189119,16696160
13593553,19181701
15793933,21503547
22798864,42347580
17285883,23905509
25817734,45674591
13513570,18159819
11107244,16029496
25329003,44729861
22551809,42009504
13289506,18494435
21412514,41793611
11392061,15237902
10359253,15262251
8058301,12731936
24700323,44319513
18339131,25095495
17876218,21769730
22521575,1640941
18780851,26959542
13622864,18470260
18656416,26470741
10372392,14480845
25733983,45572105
27405337,47452595
16231153,44777579
23395680,26653661
12127718,17097257
30373504,43446210
24611454,43635283
22598773,41986849
13532020,17427104
26192646,43081207
10816297,15729967
23615703,43175401
26170903,1026225
3128819,3702097
7257982,8310627
17199504,19248070
13535951,18331356
22299380,41687212
10255477,3430731
27211731,44319513
6997171,7229722
22609428,42099409
1320817,48658
16158516,21998932
13528317,21754877
99561,919292
8141614,10138518
16029139,21431964
25810098,40030582
25852828,42375710
2686103,3175590
27485148,44212156
18138254,25100814
11193265,2192250
21853687,41125566
17368125,22245975
11888941,16847817
16113421,21480584
26012215,45424865
17368126,24065528
8667848,13190160
23834676,43111196
16066855,21823294
13166434,16984749
12004787,16844162
17573083,16845778
27833494,47815497
3435816,3476821
16109534,18171286
22827644,18982957
24611888,44223004
16387472,18407865
8806424,13680606
25663634,45486603
18114060,25441290
25861096,45731642
23591052,43101258
25494343,19104294
23995433,43593496
17331318,24034597
8699420,243986
27276428,46190748
9405127,14289077
15800651,21523952
24718416,44342503
25230693,26757264
21546732,26233574
16158542,21998925
27272426,47325949
7139292,7104190
23384754,26869068
6903357,6771932
25667060,45490202
25243409,24252421
17262173,23858972
15797140,20387074
22571522,42038017
7262166,8332855
10151606,4835472
17671936,14652576
27162571,44523691
19367296,25895191
6980817,878368
23256095,40339078
22926874,41711673
13254888,18456140
22561345,42024123
25142924,44611588
17657592,24645320
13621641,16275453
10844125,15758551
8781660,2810877
25125093,43266179
12798108,16371613
25621455,45433473
17571040,24510632
19101283,24342394
18649453,26221805
6318217,6538830
17570738,24509002
25615133,45426196
15820228,18441773
23420112,28147221
17707603,24757132
26795577,46817354
24944827,49011860
11128322,16051416
17415169,24021653
29569157,49894931
27303363,47356230
27189099,47200509
22724766,21839080
19304299,25440532
22062202,41392342
6952534,9910301
15713023,18472752
22027809,41346939
25002969,43457942
2095583,2100943
18404246,18246737
6310782,6365477
20897517,28027377
27276466,40462273
21413662,40714465
25773980,42238658
15796863,19137260
9723757,13808332
27065431,45167603
13624112,21879161
17333403,24064730
18304322,25795642
11447065,16380870
22536581,26493584
15814168,21540542
18363833,19248070
6366437,6553801
13577113,1230097
27277174,47332184
9606441,7330987
13202092,18385042
25645882,45281745
3475161,3516480
18811352,26746353
25241718,42578980
29358174,49601840
26396667,28147218
22723165,42205713
12112683,16272568
9781310,10829530
26893819,42856015
18270199,16484134
12799375,16810444
23941375,42580727
17368168,712972
25259087,40720183
12381269,15311332
10767466,15678952
16158502,21998918
16085517,21887216
26385320,43071984
18667949,26492357
259028,3486041
25677602,43202154
25667215,43458129
8010346,12554124
26795574,45811704
15985348,17328606
25111004,40214925
24612597,44223599
26074181,42492659
13641910,19241783
13426120,18912414
15823273,21553734
12799420,17947731
23014674,984888
17333760,24064581
24499258,44094715
16158504,21998920
6999776,2267189
2458342,3441259
25734120,45572375
21412673,40713679
6283851,6116483
17860615,25004371
16160777,22006837
7607974,10047097
15746710,16441531
25813961,42099162
29214732,50857278
13546415,19111533
13534576,18315946
6671931,6866893
20974986,25981838
8099187,12842742
26245030,43007887
18923357,26746353
6460435,6650840
6587387,6527865
26245872,42179966
11055826,13943349
6261976,6445202
21965107,40842571
6990124,6179506
25664432,45464678
19283687,26037952
27405142,47452591
25785357,45540518
24684895,26542469
26384747,41954841
7163609,7511566
30205546,49334269
6261277,6444486
28688502,47973973
7081204,6611698
26333214,43082583
9810629,711316
12407466,17389047
20523863,36798428
17349190,24034629
6688507,6883894
25813937,45670647
2807199,2833088
8573882,7110471
25816696,45580775
25781207,45625869
7051363,6532834
17624975,23644105
23884396,43446309
23874432,43483405
5556466,5727588
17333874,21840842
16100779,21870230
25111287,40080238
16093626,18433878
13722513,15545385
13624688,19426990
23834567,43446210
1781879,3588688
24885636,43591153
17778537,22001105
23612538,25318458
27189104,47200549
6358094,3407295
21936663,43312432
9328314,14211568
17773330,16815240
23012550,42578984
8644838,416305
8964279,13841199
19082043,27026852
8662018,13533472
7167391,315813
13459547,18989715
2612,2124255
7959473,11771611
19283573,26038054
11695826,14570985
18490596,26174315
6691426,6886872
7164343,7521142
22780235,25792239
10453891,14257513
27064451,46922112
28646508,47465211
25241552,44961082
8160806,10913155
12602377,14831761
24602886,44212156
22747310,19237752
8985845,3287769
7302794,8691308
17162754,23588402
23358109,42914333
10897899,14636277
3121162,3152505
17860739,25004628
28339299,44056895
25817596,25731243
13621794,15507935
21845577,24757238
19367128,21861160
18211058,41777403
24612102,44546068
22694049,42206903
24611731,40167031
20262703,27565414
22668844,26732095
16048371,19174134
22609800,41125528
13550834,16186138
10209997,15109428
9650938,13585210
18196751,22002305
26114535,19100984
17989399,22411868
20342518,28322756
25814222,25003015
24467084,42580719
7164428,7522212
22864466,40690062
13538503,14167526
7110095,1221838
25111123,42097845
2,2809203
15819572,18252653
15789071,21509572
25300824,22382333
15789453,21412154
25430430,43014934
15750884,19926990
49628,1871423
18813715,21998943
25040077,42099145
17707636,24757165
13232357,16381927
17720311,21998935
7853757,10982820
6988272,2737065
23310808,42864885
17797253,24969951
24611928,44223038
10134217,15032148
18170659,24878180
25861681,45732283
18656419,26470742
8167094,13013056
16248142,22276989
13425384,16673115
7333096,1479391
24875396,44523713
9549533,2609827
4601396,4651129
27158505,44460981
12862985,18014967
3190662,3223647
16158546,21998962
22833206,26747961
16675398,19422894
2014625,3185020
27209433,47250924
6940561,7173336
23731878,43344022
22152434,41497379
12307716,17015466
6571644,6764726
7048800,7299170
7410954,65942
20821087,26164907
26893714,42713530
22735241,21890979
10835864,15408919
13425415,18907326
24612581,44223585
27272224,47325767
7440139,9446079
24172090,21400019
4066312,4113404
26116473,40782926
10634955,15543605
23460947,43193467
10218446,1749610
18290920,21540542
24826008,41976718
22571696,42038145
9583507,14470450
20721959,40045610
15811630,21363447
7345553,2957021
9670341,13734142
13534847,19147683
12941351,16827462
13530796,17893211
27191348,2422276
22609317,42099141
17333279,24064583
9265453,14146240
25067003,44751811
25741605,42720997
18085418,25337789
25111011,44804609
18209268,21519538
10131596,867316
16559794,1625214
27274490,43082588
6987228,6113306
21064599,40429264
3697549,3741058
12999076,18159819
26072578,42492659
25058405,44740446
24627217,810701
23395098,21861351
20602983,39876411
7042681,5805191
17979846,24946137
12530064,17097257
8253920,7338128
15811149,21536324
18373208,25984913
13533788,19092649
25465056,42937661
7880520,14127134
13426065,18912344
28514478,48671606
25659220,43458052
17383934,15778974
5291539,1708725
21535769,26869384
29105793,45536239
22940314,19181084
22723206,42205784
13622826,18296274
18755762,21534832
20643459,17088822
18052893,25337956
25930861,44458285
2761626,2787335
23717678,27228804
10131648,15029543
27276300,44854000
18773774,25332877
13260361,16552121
17851756,24897193
22693203,25337746
10373889,15277282
16169735,21734517
24820022,44460829
17134618,19181719
25187801,44552981
16145880,21979622
28603784,48784957
15798588,17113518
15985372,21739817
12525149,21561710
19084106,22276283
18079837,25387135
7110775,7370023
10435532,13323925
13538500,17045364
19163728,27203201
